gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
9061,D015212,2015,6821,1
9103,D015212,2012,5579,1
9107,D015212,2017,5336,1
9108,D015212,2017,5336,1
9110,D015212,2017,5336,1
9138,D015212,2011,2768,1
9140,D015212,2006,64127,1
9162,D015212,2017,5336,1
9170,D015212,2011,2768,1
9249,D015212,2013,8854,1
9253,D015212,2015,4851,1
9254,D015212,2015,10125,1
9261,D015212,2011,4046,1
9294,D015212,2011,2768,1
9306,D015212,2008,6774,1
9314,D015212,2008,6774,1
9368,D015212,2012,5579,1
9372,D015212,2010,4088,1
9453,D015212,2015,79947,1
9475,D015212,2012,4790,1
9514,D015212,2015,2581,1
9530,D015212,2016,7132,1
9560,D015212,2012,4790,1
9562,D015212,2012,253430,1
9564,D015212,2012,5579,1
9586,D015212,2012,5579,1
9615,D015212,2008,144811,1
9618,D015212,2012,4790,1
9636,D015212,2015,64135,1
9641,D015212,2008,6774,1
9651,D015212,2012,253430,1
9655,D015212,2008,6774,1
9693,D015212,2014,9223,1
9732,D015212,2020,5906,1
9765,D015212,2010,4088,1
9771,D015212,2020,5906,1
9791,D015212,2015,5321,1
9821,D015212,2007,55054,1
9826,D015212,2011,2768,1
9846,D015212,2017,5336,1
9899,D015212,2009,3912,1
9900,D015212,2009,3912,1
9902,D015212,2009,3586,1
9978,D015212,2017,8454,1
10000,D015212,2012,1326,1
10161,D015212,2011,2768,1
10170,D015212,2013,8854,1
10201,D015212,2012,114,1
10203,D015212,2011,3375,1
10235,D015212,2010,781,1
10241,D015212,2015,23048,1
10243,D015212,2020,2562,1
10254,D015212,2012,3717,1
10266,D015212,2011,3375,1
10267,D015212,2011,3375,1
10268,D015212,2011,3375,1
10317,D015212,2010,2524,1
10331,D015212,2010,2524,1
10332,D015212,2009,3586,1
10365,D015212,2012,4790,1
10368,D015212,2015,10125,1
10369,D015212,2015,10125,1
10379,D015212,2008,6774,1
10390,D015212,2015,5321,1
10392,D015212,2007,55054,1
10393,D015212,2017,51343,1
10400,D015212,2015,5321,1
10402,D015212,2010,2524,1
10411,D015212,2012,114,1
10423,D015212,2017,5336,1
10434,D015212,2015,5321,1
10451,D015212,2012,4790,1
10454,D015212,2015,23118,1
10459,D015212,2017,51343,1
10488,D015212,2012,5579,1
10498,D015212,2016,6198,1
10533,D015212,2012,5579,1
10663,D015212,2012,3717,1
10672,D015212,2015,5321,1
10678,D015212,2010,2524,1
10681,D015212,2012,5579,1
10683,D015212,2015,4851,1
10690,D015212,2010,2524,1
10715,D015212,2015,2581,1
10720,D015212,2013,8854,1
10746,D015212,2012,5579,1
10768,D015212,2010,1788,1
10800,D015212,2016,2776,1
10803,D015212,2012,3717,1
10825,D015212,2015,2581,1
10846,D015212,2012,114,1
10848,D015212,2015,5970,1
10870,D015212,2017,5336,1
10891,D015212,2008,6774,1
10901,D015212,2013,8854,1
10908,D015212,2015,5321,1
10912,D015212,2012,4790,1
10941,D015212,2013,8854,1
11035,D015212,2016,7128,1
11040,D015212,2008,6774,1
11069,D015212,2012,114,1
11145,D015212,2012,9415,1
11152,D015212,2007,55054,1
11186,D015212,2008,6789,1
11211,D015212,2016,2776,1
11214,D015212,2011,2768,1
11283,D015212,2015,5321,1
11317,D015212,2012,864,1
11337,D015212,2007,55054,1
11345,D015212,2007,55054,1
22800,D015212,2011,4046,1
22808,D015212,2011,4046,1
22865,D015212,2019,5789,1
22876,D015212,2017,5336,1
22908,D015212,2017,5336,1
22978,D015212,2008,144811,1
22987,D015212,2009,3912,1
23007,D015212,2012,253430,1
23049,D015212,2016,55012,1
23205,D015212,2016,2194,1
23220,D015212,2015,4851,1
23236,D015212,2012,253430,1
23291,D015212,2017,8454,1
23293,D015212,2016,55012,1
